month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2018-02,Bronx,LCL/LTD,BX6,Peak,3150245,19034532,6.04223862
2018-02,Bronx,LCL/LTD,BX7,Off-Peak,6463933,45085086,6.974869016
2018-02,Bronx,LCL/LTD,BX7,Peak,3678568,22324500,6.068801773
2018-02,Bronx,LCL/LTD,BX8,Off-Peak,5746336,48271888.8,8.400464017
2018-02,Bronx,LCL/LTD,BX8,Peak,3194273,25329981.6,7.929811134
2018-02,Bronx,LCL/LTD,BX9,Off-Peak,13169975,84887416.8,6.445526039
2018-02,Bronx,LCL/LTD,BX9,Peak,6606684,37600405.2,5.691267389
2018-03,Bronx,LCL/LTD,BX1,Off-Peak,10113406,70023772.8,6.923856592
2018-03,Bronx,LCL/LTD,BX1,Peak,5039713,33489180,6.645056971
2018-03,Bronx,LCL/LTD,BX10,Off-Peak,7092581,61579015.2,8.682172992
2018-03,Bronx,LCL/LTD,BX10,Peak,3780124,28788667.2,7.615799693
2018-03,Bronx,LCL/LTD,BX11,Off-Peak,7969965,49251074.4,6.179584779
2018-03,Bronx,LCL/LTD,BX11,Peak,4690018,24582427.2,5.241435577
2018-03,Bronx,LCL/LTD,BX12,Off-Peak,5545433,49624862.4,8.948780447
2018-03,Bronx,LCL/LTD,BX12,Peak,2708820,20531750.4,7.579591999
2018-03,Bronx,LCL/LTD,BX13,Off-Peak,4914165,30714534,6.250204053
2018-03,Bronx,LCL/LTD,BX13,Peak,3204484,17180496,5.361392349
2018-03,Bronx,LCL/LTD,BX15,Off-Peak,11771802,73997704.8,6.286013373
2018-03,Bronx,LCL/LTD,BX15,Peak,5268075,28282244.4,5.368610811
2018-03,Bronx,LCL/LTD,BX16,Off-Peak,4845713,46040860.8,9.501359408
2018-03,Bronx,LCL/LTD,BX16,Peak,2831882,24703509.6,8.723354151
2018-03,Bronx,LCL/LTD,BX17,Off-Peak,6305163,44688528,7.087608679
2018-03,Bronx,LCL/LTD,BX17,Peak,3666785,23052798,6.286923831
2018-03,Bronx,LCL/LTD,BX19,Off-Peak,11382028,62765233.2,5.514415638
2018-03,Bronx,LCL/LTD,BX19,Peak,4484618,22186735.2,4.947296559
2018-03,Bronx,LCL/LTD,BX2,Off-Peak,10266746,57922074,5.641716859
2018-03,Bronx,LCL/LTD,BX2,Peak,5106069,28330444.8,5.548386596
2018-03,Bronx,LCL/LTD,BX20,Off-Peak,175201,1430838,8.166836947
